"device_id","date","hour","battery_level","notifications","session_count"
"10a38b2ac882353c","2016-01-11",17,45,11,22
"10a38b2ac882353c","2016-01-11",18,40,9,27
"10a38b2ac882353c","2016-01-11",19,35,8,31
"10a38b2ac882353c","2016-01-11",20,25,9,18
"10a38b2ac882353c","2016-01-11",21,85,13,60
"10a38b2ac882353c","2016-01-11",22,80,23,33
"10a38b2ac882353c","2016-01-11",23,95,185,29
"10a38b2ac882353c","2016-01-12",0,85,24,48
"10a38b2ac882353c","2016-01-12",1,85,6,4
"10a38b2ac882353c","2016-01-12",2,80,13,10
"10a38b2ac882353c","2016-01-12",3,80,2,3
"10a38b2ac882353c","2016-01-12",4,75,15,11
"10a38b2ac882353c","2016-01-12",5,70,39,13
"10a38b2ac882353c","2016-01-12",6,75,69,58
"10a38b2ac882353c","2016-01-12",7,85,4,52
"10a38b2ac882353c","2016-01-12",8,70,11,17
"10a38b2ac882353c","2016-01-12",9,65,4,9
"10a38b2ac882353c","2016-01-12",10,60,16,15
"10a38b2ac882353c","2016-01-12",12,50,17,28
"10a38b2ac882353c","2016-01-12",13,50,7,14
"10a38b2ac882353c","2016-01-12",14,45,25,7
"10a38b2ac882353c","2016-01-12",15,40,45,8
"10a38b2ac882353c","2016-01-12",16,40,51,16
"10a38b2ac882353c","2016-01-12",17,60,12,4
"10a38b2ac882353c","2016-01-12",18,55,20,10
"10a38b2ac882353c","2016-01-12",19,80,9,31
"10a38b2ac882353c","2016-01-12",20,95,7,7
"10a38b2ac882353c","2016-01-12",21,90,23,19
"10a38b2ac882353c","2016-01-12",22,95,7,6
"10a38b2ac882353c","2016-01-13",0,90,3,2
"10a38b2ac882353c","2016-01-13",1,90,3,NA
"10a38b2ac882353c","2016-01-13",5,85,21,2
"10a38b2ac882353c","2016-01-13",6,80,34,8
"10a38b2ac882353c","2016-01-13",8,75,9,8
"10a38b2ac882353c","2016-01-13",9,75,6,10
"10a38b2ac882353c","2016-01-13",10,70,4,6
"10a38b2ac882353c","2016-01-13",11,65,NA,3
"10a38b2ac882353c","2016-01-13",12,60,7,16
"10a38b2ac882353c","2016-01-13",13,55,62,35
"10a38b2ac882353c","2016-01-13",14,45,24,15
"10a38b2ac882353c","2016-01-13",16,35,37,14
"10a38b2ac882353c","2016-01-13",17,25,20,6
"10a38b2ac882353c","2016-01-13",18,20,39,7
"10a38b2ac882353c","2016-01-13",19,40,18,4
"10a38b2ac882353c","2016-01-13",20,65,18,23
"10a38b2ac882353c","2016-01-21",22,50,NA,3
"10a38b2ac882353c","2016-01-22",2,45,NA,1
"10a38b2ac882353c","2016-01-22",4,40,NA,NA
"10a38b2ac882353c","2016-01-22",5,40,NA,11
"10a38b2ac882353c","2016-01-22",6,35,NA,3
"10a38b2ac882353c","2016-01-22",8,85,NA,3
"10a38b2ac882353c","2016-01-22",9,85,NA,1
"10a38b2ac882353c","2016-01-22",11,80,NA,NA
"10a38b2ac882353c","2016-01-22",12,80,NA,8
"10a38b2ac882353c","2016-01-22",13,75,NA,3
"10a38b2ac882353c","2016-01-22",14,75,NA,7
"10a38b2ac882353c","2016-01-22",15,70,NA,4
"10a38b2ac882353c","2016-01-22",17,65,NA,2
"10a38b2ac882353c","2016-01-22",18,60,NA,5
"10a38b2ac882353c","2016-01-22",21,55,NA,7
"11089d01dd0d954e","2016-04-22",19,95,25,NA
"11089d01dd0d954e","2016-04-22",20,80,24,2
"11089d01dd0d954e","2016-04-23",3,60,36,6
"11089d01dd0d954e","2016-04-23",4,100,20,27
"11089d01dd0d954e","2016-04-23",5,90,10,26
"11089d01dd0d954e","2016-04-23",7,80,41,8
"11089d01dd0d954e","2016-04-23",8,75,27,10
"11089d01dd0d954e","2016-04-23",10,55,10,10
"11089d01dd0d954e","2016-04-23",13,40,NA,NA
"11089d01dd0d954e","2016-04-23",16,20,17,1
"11089d01dd0d954e","2016-04-23",18,10,48,NA
"11091721ea79dbdf","2016-04-24",9,65,12,5
"11091721ea79dbdf","2016-04-24",11,60,4,7
"11091721ea79dbdf","2016-04-24",13,55,2,7
"11091721ea79dbdf","2016-04-24",14,50,1,15
"11091721ea79dbdf","2016-04-24",15,45,5,7
"11091721ea79dbdf","2016-04-24",16,40,9,6
"11091721ea79dbdf","2016-04-24",18,35,7,15
"11091721ea79dbdf","2016-04-24",19,30,1,7
"11091721ea79dbdf","2016-04-24",20,30,NA,7
"11091721ea79dbdf","2016-04-24",21,75,3,NA
"11091721ea79dbdf","2016-04-24",22,100,1,NA
"11091721ea79dbdf","2016-04-24",23,100,NA,NA
"11091721ea79dbdf","2016-04-25",0,100,2,NA
"11091721ea79dbdf","2016-04-25",1,100,1,NA
"11091721ea79dbdf","2016-04-25",2,100,1,NA
"11091721ea79dbdf","2016-04-25",3,100,5,5
"11091721ea79dbdf","2016-04-25",4,100,27,29
"11091721ea79dbdf","2016-04-25",5,95,20,10
"11091721ea79dbdf","2016-04-25",6,90,12,NA
"11091721ea79dbdf","2016-04-25",7,85,4,2
"11091721ea79dbdf","2016-04-25",9,80,12,5
"11091721ea79dbdf","2016-04-25",10,75,1,3
"11091721ea79dbdf","2016-04-25",12,70,3,7
"11091721ea79dbdf","2016-04-25",13,65,24,3
